Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),,,
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense),,,
"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,"PPG, bilateral (TDS, current US$)",,,
"PPG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CD,"PPG, bilateral concessional (TDS, current US$)",,,
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",,,
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)",,,
Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,Total debt service (% of GNI),,,
"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)",,,
"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)",,,
"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",,,
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",,,
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",,,
Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI),,,
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",,,
"PPG, IBRD (TDS, current US$)",DT.TDS.MIBR.CD,"PPG, IBRD (TDS, current US$)",,,
"PPG, IDA (TDS, current US$)",DT.TDS.MIDA.CD,"PPG, IDA (TDS, current US$)",,,
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",,,
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service),,,
"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD,"PPG, multilateral concessional (TDS, current US$)",,,
"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,"PPG, official creditors (TDS, current US$)",,,
"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD,"PPG, bonds (TDS, current US$)",,,
"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,"PPG, commercial banks (TDS, current US$)",,,
"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD,"PNG, bonds (TDS, current US$)",,,
"PNG, commercial banks and other creditors (TDS, current US$)",DT.TDS.PNGC.CD,"PNG, commercial banks and other creditors (TDS, current US$)",,,
"PPG, other private creditors (TDS, current US$)",DT.TDS.PROP.CD,"PPG, other private creditors (TDS, current US$)",,,
"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,"PPG, private creditors (TDS, current US$)",,,
Total amount of debt rescheduled (current US$),DT.TXR.DPPG.CD,Total amount of debt rescheduled (current US$),,,
"Undisbursed external debt, total (UND, current US$)",DT.UND.DPPG.CD,"Undisbursed external debt, total (UND, current US$)",,,
"Undisbursed external debt, official creditors (UND, current US$)",DT.UND.OFFT.CD,"Undisbursed external debt, official creditors (UND, current US$)",,,
"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,"Undisbursed external debt, private creditors (UND, current US$)",,,
Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,Agriculture value added per worker (constant 2005 US$),,,
Organic water pollutant (BOD) emissions (kg per day),EE.BOD.TOTL.KG,Organic water pollutant (BOD) emissions (kg per day),,,
Access to electricity (% of population),EG.ELC.ACCS.ZS,Access to electricity (% of population),,,
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),,,
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",,,
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total),,,
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output),,,
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total),,,
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total),,,
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Electricity production from oil sources (% of total),,,
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent),,,
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),,,
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",,,
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),,,
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),,,
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",,,
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy),,,
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),,,
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),,,
CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use),,,
CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2005 US$ of GDP),,,
CO2 emissions (kt),EN.ATM.CO2E.KT,CO2 emissions (kt),,,
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),,,
CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),,,
CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2011 PPP $ of GDP),,,
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total),,,
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",,,
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent),,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),,,
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),,,
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),,,
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total),,,
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent),,,
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,
Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),,,
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),,,
Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions),EN.ATM.NOXE.EI.ZS,Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions),,,
Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.IN.KT.CE,Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,
PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,PFC gas emissions (thousand metric tons of CO2 equivalent),,,
SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,SF6 gas emissions (thousand metric tons of CO2 equivalent),,,
"Bird species, threatened",EN.BIR.THRD.NO,"Bird species, threatened",,,
Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),,,
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),,,
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",,,
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),,,
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",,,
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,CO2 emissions from transport (% of total fuel combustion),,,
"Fish species, threatened",EN.FSH.THRD.NO,"Fish species, threatened",,,
"Plant species (higher), threatened",EN.HPT.THRD.NO,"Plant species (higher), threatened",,,
"Mammal species, threatened",EN.MAM.THRD.NO,"Mammal species, threatened",,,
Population density (people per sq. km of land area),EN.POP.DNST,Population density (people per sq. km of land area),,,
Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population),,,
Population in largest city,EN.URB.LCTY,Population in largest city,,,
Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Population in the largest city (% of urban population),,,
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,Population in urban agglomerations of more than 1 million,,,
Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Population in urban agglomerations of more than 1 million (% of total population),,,
"4.10 Primary education enrollment, net %",ENROL1NET,"Primary education enrollment, net %*",Value,,
"4.10 Primary education enrollment, net % (rank)",ENROL1NET_R,"Primary education enrollment, net %*",Rank,,
"5.01 Secondary education enrollment, gross %",ENROL2GR,"Secondary education enrollment, gross %*",Value,,
"5.01 Secondary education enrollment, gross % (rank)",ENROL2GR_R,"Secondary education enrollment, gross %*",Rank,,
"5.02 Tertiary education enrollment, gross %",ENROL3GR,"Tertiary education enrollment, gross %*",Value,,
"5.02 Tertiary education enrollment, gross % (rank)",ENROL3GR_R,"Tertiary education enrollment, gross %*",Rank,,
"1.13 Business costs of terrorism, 1-7",EOSQ033,"Business costs of terrorism, 1-7 (best)",Value,,
"1.13 Business costs of terrorism, 1-7 (rank)",EOSQ033_R,"Business costs of terrorism, 1-7 (best)",Rank,,
"1.14 Business costs of crime and violence, 1-7",EOSQ034,"Business costs of crime and violence, 1-7 (best)",Value,,
"1.14 Business costs of crime and violence, 1-7 (rank)",EOSQ034_R,"Business costs of crime and violence, 1-7 (best)",Rank,,
"1.15 Organized crime, 1-7",EOSQ035,"Organized crime, 1-7 (best)",Value,,
"1.15 Organized crime, 1-7 (rank)",EOSQ035_R,"Organized crime, 1-7 (best)",Rank,,
"1.11 Efficiency of legal framework in challenging regs., 1-7",EOSQ039,"Efficiency of legal framework in challenging regs., 1-7 (best)",Value,,
"1.11 Efficiency of legal framework in challenging regs., 1-7 (rank)",EOSQ039_R,"Efficiency of legal framework in challenging regs., 1-7 (best)",Rank,,
"1.10 Efficiency of legal framework in settling disputes, 1-7",EOSQ040,"Efficiency of legal framework in settling disputes, 1-7 (best)",Value,,
"1.10 Efficiency of legal framework in settling disputes, 1-7 (rank)",EOSQ040_R,"Efficiency of legal framework in settling disputes, 1-7 (best)",Rank,,
"1.04 Public trust in politicians, 1-7",EOSQ041,"Public trust in politicians, 1-7 (best)",Value,,
"1.04 Public trust in politicians, 1-7 (rank)",EOSQ041_R,"Public trust in politicians, 1-7 (best)",Rank,,
"1.07 Favoritism in decisions of government officials, 1-7",EOSQ042,"Favoritism in decisions of government officials, 1-7 (best)",Value,,
"1.07 Favoritism in decisions of government officials, 1-7 (rank)",EOSQ042_R,"Favoritism in decisions of government officials, 1-7 (best)",Rank,,
"1.08 Wastefulness of government spending, 1-7",EOSQ043,"Wastefulness of government spending, 1-7 (best)",Value,,
"1.08 Wastefulness of government spending, 1-7 (rank)",EOSQ043_R,"Wastefulness of government spending, 1-7 (best)",Rank,,
"6.08 Agricultural policy costs, 1-7",EOSQ046,"Agricultural policy costs, 1-7 (best)",Value,,
"6.08 Agricultural policy costs, 1-7 (rank)",EOSQ046_R,"Agricultural policy costs, 1-7 (best)",Rank,,
"1.09 Burden of government regulation, 1-7",EOSQ048,"Burden of government regulation, 1-7 (best)",Value,,
"1.09 Burden of government regulation, 1-7 (rank)",EOSQ048_R,"Burden of government regulation, 1-7 (best)",Rank,,
"1.12 Transparency of government policymaking, 1-7",EOSQ049,"Transparency of government policymaking, 1-7 (best)",Value,,
"1.12 Transparency of government policymaking, 1-7 (rank)",EOSQ049_R,"Transparency of government policymaking, 1-7 (best)",Rank,,
"6.13 Burden of customs procedures, 1-7",EOSQ050,"Burden of customs procedures, 1-7 (best)",Value,,
"6.13 Burden of customs procedures, 1-7 (rank)",EOSQ050_R,"Burden of customs procedures, 1-7 (best)",Rank,,
"1.01 Property rights, 1-7",EOSQ051,"Property rights, 1-7 (best)",Value,,
"1.01 Property rights, 1-7 (rank)",EOSQ051_R,"Property rights, 1-7 (best)",Rank,,
"1.02 Intellectual property protection, 1-7",EOSQ052,"Intellectual property protection, 1-7 (best)",Value,,
"1.02 Intellectual property protection, 1-7 (rank)",EOSQ052_R,"Intellectual property protection, 1-7 (best)",Rank,,
"1.16 Reliability of police services, 1-7",EOSQ055,"Reliability of police services, 1-7 (best)",Value,,
"1.16 Reliability of police services, 1-7 (rank)",EOSQ055_R,"Reliability of police services, 1-7 (best)",Rank,,
"2.01 Quality of overall infrastructure, 1-7",EOSQ056,"Quality of overall infrastructure, 1-7 (best)",Value,,
"2.01 Quality of overall infrastructure, 1-7 (rank)",EOSQ056_R,"Quality of overall infrastructure, 1-7 (best)",Rank,,
"2.02 Quality of roads, 1-7",EOSQ057,"Quality of roads, 1-7 (best)",Value,,
"2.02 Quality of roads, 1-7 (rank)",EOSQ057_R,"Quality of roads, 1-7 (best)",Rank,,
"2.05 Quality of air transport infrastructure, 1-7",EOSQ061,"Quality of air transport infrastructure, 1-7 (best)",Value,,
"2.05 Quality of air transport infrastructure, 1-7 (rank)",EOSQ061_R,"Quality of air transport infrastructure, 1-7 (best)",Rank,,
"2.07 Quality of electricity supply, 1-7",EOSQ064,"Quality of electricity supply, 1-7 (best)",Value,,
"2.07 Quality of electricity supply, 1-7 (rank)",EOSQ064_R,"Quality of electricity supply, 1-7 (best)",Rank,,
"9.01 Availability of latest technologies, 1-7",EOSQ067,"Availability of latest technologies, 1-7 (best)",Value,,
"9.01 Availability of latest technologies, 1-7 (rank)",EOSQ067_R,"Availability of latest technologies, 1-7 (best)",Rank,,
"9.02 Firm-level technology absorption, 1-7",EOSQ068,"Firm-level technology absorption, 1-7 (best)",Value,,
"9.02 Firm-level technology absorption, 1-7 (rank)",EOSQ068_R,"Firm-level technology absorption, 1-7 (best)",Rank,,
"9.03 FDI and technology transfer, 1-7",EOSQ070,"FDI and technology transfer, 1-7 (best)",Value,,
"9.03 FDI and technology transfer, 1-7 (rank)",EOSQ070_R,"FDI and technology transfer, 1-7 (best)",Rank,,
"12.02 Quality of scientific research institutions, 1-7",EOSQ071,"Quality of scientific research institutions, 1-7 (best)",Value,,
"12.02 Quality of scientific research institutions, 1-7 (rank)",EOSQ071_R,"Quality of scientific research institutions, 1-7 (best)",Rank,,
"12.04 University-industry collaboration in R&D, 1-7",EOSQ072,"University-industry collaboration in R&D, 1-7 (best)",Value,,
"12.04 University-industry collaboration in R&D, 1-7 (rank)",EOSQ072_R,"University-industry collaboration in R&D, 1-7 (best)",Rank,,
"12.05 Gov't procurement of advanced tech products, 1-7",EOSQ074,"Gov’t procurement of advanced tech products, 1-7 (best)",Value,,
"12.05 Gov't procurement of advanced tech products, 1-7 (rank)",EOSQ074_R,"Gov’t procurement of advanced tech products, 1-7 (best)",Rank,,
"5.06 Internet access in schools, 1-7",EOSQ084,"Internet access in schools, 1-7 (best)",Value,,
"5.06 Internet access in schools, 1-7 (rank)",EOSQ084_R,"Internet access in schools, 1-7 (best)",Rank,,
"8.06 Soundness of banks, 1-7",EOSQ087,"Soundness of banks, 1-7 (best)",Value,,
"8.06 Soundness of banks, 1-7 (rank)",EOSQ087_R,"Soundness of banks, 1-7 (best)",Rank,,
"8.04 Ease of access to loans, 1-7",EOSQ088,"Ease of access to loans, 1-7 (best)",Value,,
"8.04 Ease of access to loans, 1-7 (rank)",EOSQ088_R,"Ease of access to loans, 1-7 (best)",Rank,,
"8.05 Venture capital availability, 1-7",EOSQ089,"Venture capital availability, 1-7 (best)",Value,,
"8.05 Venture capital availability, 1-7 (rank)",EOSQ089_R,"Venture capital availability, 1-7 (best)",Rank,,
"8.03 Financing through local equity market, 1-7",EOSQ091,"Financing through local equity market, 1-7 (best)",Value,,
"8.03 Financing through local equity market, 1-7 (rank)",EOSQ091_R,"Financing through local equity market, 1-7 (best)",Rank,,
"8.07 Regulation of securities exchanges, 1-7",EOSQ092,"Regulation of securities exchanges, 1-7 (best)",Value,,
"8.07 Regulation of securities exchanges, 1-7 (rank)",EOSQ092_R,"Regulation of securities exchanges, 1-7 (best)",Rank,,
"6.11 Prevalence of foreign ownership, 1-7",EOSQ094,"Prevalence of foreign ownership, 1-7 (best)",Value,,
"6.11 Prevalence of foreign ownership, 1-7 (rank)",EOSQ094_R,"Prevalence of foreign ownership, 1-7 (best)",Rank,,
"6.12 Business impact of rules on FDI, 1-7",EOSQ095,"Business impact of rules on FDI, 1-7 (best)",Value,,
"6.12 Business impact of rules on FDI, 1-7 (rank)",EOSQ095_R,"Business impact of rules on FDI, 1-7 (best)",Rank,,
"6.09 Prevalence of trade barriers, 1-7",EOSQ096,"Prevalence of trade barriers, 1-7 (best)",Value,,
"6.09 Prevalence of trade barriers, 1-7 (rank)",EOSQ096_R,"Prevalence of trade barriers, 1-7 (best)",Rank,,
"1.18 Strength of auditing and reporting standards, 1-7",EOSQ097,"Strength of auditing and reporting standards, 1-7 (best)",Value,,
"1.18 Strength of auditing and reporting standards, 1-7 (rank)",EOSQ097_R,"Strength of auditing and reporting standards, 1-7 (best)",Rank,,
"1.20 Protection of minority shareholders' interests, 1-7",EOSQ098,"Protection of minority shareholders’ interests, 1-7 (best)",Value,,
"1.20 Protection of minority shareholders' interests, 1-7 (rank)",EOSQ098_R,"Protection of minority shareholders’ interests, 1-7 (best)",Rank,,
"6.01 Intensity of local competition, 1-7",EOSQ099,"Intensity of local competition, 1-7 (best)",Value,,
"6.01 Intensity of local competition, 1-7 (rank)",EOSQ099_R,"Intensity of local competition, 1-7 (best)",Rank,,
"6.16 Buyer sophistication, 1-7",EOSQ100,"Buyer sophistication, 1-7 (best)",Value,,
"6.16 Buyer sophistication, 1-7 (rank)",EOSQ100_R,"Buyer sophistication, 1-7 (best)",Rank,,
"11.01 Local supplier quantity, 1-7",EOSQ101,"Local supplier quantity, 1-7 (best)",Value,,
"11.01 Local supplier quantity, 1-7 (rank)",EOSQ101_R,"Local supplier quantity, 1-7 (best)",Rank,,
"11.02 Local supplier quality, 1-7",EOSQ102,"Local supplier quality, 1-7 (best)",Value,,
"11.02 Local supplier quality, 1-7 (rank)",EOSQ102_R,"Local supplier quality, 1-7 (best)",Rank,,
"6.03 Effectiveness of anti-monopoly policy, 1-7",EOSQ104,"Effectiveness of anti-monopoly policy, 1-7 (best)",Value,,
"6.03 Effectiveness of anti-monopoly policy, 1-7 (rank)",EOSQ104_R,"Effectiveness of anti-monopoly policy, 1-7 (best)",Rank,,
"6.02 Extent of market dominance, 1-7",EOSQ105,"Extent of market dominance, 1-7 (best)",Value,,
"6.02 Extent of market dominance, 1-7 (rank)",EOSQ105_R,"Extent of market dominance, 1-7 (best)",Rank,,
"11.03 State of cluster development, 1-7",EOSQ109,"State of cluster development, 1-7 (best)",Value,,
"11.03 State of cluster development, 1-7 (rank)",EOSQ109_R,"State of cluster development, 1-7 (best)",Rank,,
"5.07 Availability of research and training services, 1-7",EOSQ113,"Availability of research and training services, 1-7 (best)",Value,,
"5.07 Availability of research and training services, 1-7 (rank)",EOSQ113_R,"Availability of research and training services, 1-7 (best)",Rank,,
"11.04 Nature of competitive advantage, 1-7",EOSQ114,"Nature of competitive advantage, 1-7 (best)",Value,,
"11.04 Nature of competitive advantage, 1-7 (rank)",EOSQ114_R,"Nature of competitive advantage, 1-7 (best)",Rank,,
"11.05 Value chain breadth, 1-7",EOSQ115,"Value chain breadth, 1-7 (best)",Value,,
"11.05 Value chain breadth, 1-7 (rank)",EOSQ115_R,"Value chain breadth, 1-7 (best)",Rank,,
"12.03 Company spending on R&D, 1-7",EOSQ118,"Company spending on R&D, 1-7 (best)",Value,,
"12.03 Company spending on R&D, 1-7 (rank)",EOSQ118_R,"Company spending on R&D, 1-7 (best)",Rank,,
"12.01 Capacity for innovation, 1-7",EOSQ119,"Capacity for innovation, 1-7 (best)",Value,,
"12.01 Capacity for innovation, 1-7 (rank)",EOSQ119_R,"Capacity for innovation, 1-7 (best)",Rank,,
"11.07 Production process sophistication, 1-7",EOSQ120,"Production process sophistication, 1-7 (best)",Value,,
"11.07 Production process sophistication, 1-7 (rank)",EOSQ120_R,"Production process sophistication, 1-7 (best)",Rank,,
"11.08 Extent of marketing, 1-7",EOSQ121,"Extent of marketing, 1-7 (best)",Value,,
"11.08 Extent of marketing, 1-7 (rank)",EOSQ121_R,"Extent of marketing, 1-7 (best)",Rank,,
"6.15 Degree of customer orientation, 1-7",EOSQ122,"Degree of customer orientation, 1-7 (best)",Value,,
"6.15 Degree of customer orientation, 1-7 (rank)",EOSQ122_R,"Degree of customer orientation, 1-7 (best)",Rank,,
"11.06 Control of international distribution, 1-7",EOSQ123,"Control of international distribution, 1-7 (best)",Value,,
"11.06 Control of international distribution, 1-7 (rank)",EOSQ123_R,"Control of international distribution, 1-7 (best)",Rank,,
"11.09 Willingness to delegate authority, 1-7",EOSQ124,"Willingness to delegate authority, 1-7 (best)",Value,,
"11.09 Willingness to delegate authority, 1-7 (rank)",EOSQ124_R,"Willingness to delegate authority, 1-7 (best)",Rank,,
"7.07 Reliance on professional management, 1-7",EOSQ126,"Reliance on professional management, 1-7 (best)",Value,,
"7.07 Reliance on professional management, 1-7 (rank)",EOSQ126_R,"Reliance on professional management, 1-7 (best)",Rank,,
"1.19 Efficacy of corporate boards, 1-7",EOSQ127,"Efficacy of corporate boards, 1-7 (best)",Value,,
"1.19 Efficacy of corporate boards, 1-7 (rank)",EOSQ127_R,"Efficacy of corporate boards, 1-7 (best)",Rank,,
"5.03 Quality of the education system, 1-7",EOSQ128,"Quality of the education system, 1-7 (best)",Value,,
"5.03 Quality of the education system, 1-7 (rank)",EOSQ128_R,"Quality of the education system, 1-7 (best)",Rank,,
"4.09 Quality of primary education, 1-7",EOSQ129,"Quality of primary education, 1-7 (best)",Value,,
"4.09 Quality of primary education, 1-7 (rank)",EOSQ129_R,"Quality of primary education, 1-7 (best)",Rank,,
"5.04 Quality of math and science education, 1-7",EOSQ130,"Quality of math and science education, 1-7 (best)",Value,,
"5.04 Quality of math and science education, 1-7 (rank)",EOSQ130_R,"Quality of math and science education, 1-7 (best)",Rank,,
"5.05 Quality of management schools, 1-7",EOSQ131,"Quality of management schools, 1-7 (best)",Value,,
"5.05 Quality of management schools, 1-7 (rank)",EOSQ131_R,"Quality of management schools, 1-7 (best)",Rank,,
"12.06 Availability of scientists and engineers, 1-7",EOSQ133,"Availability of scientists and engineers, 1-7 (best)",Value,,
"12.06 Availability of scientists and engineers, 1-7 (rank)",EOSQ133_R,"Availability of scientists and engineers, 1-7 (best)",Rank,,
"7.03 Hiring and firing practices, 1-7",EOSQ134,"Hiring and firing practices, 1-7 (best)",Value,,
"7.03 Hiring and firing practices, 1-7 (rank)",EOSQ134_R,"Hiring and firing practices, 1-7 (best)",Rank,,
"7.01 Cooperation in labor-employer relations, 1-7",EOSQ135,"Cooperation in labor-employer relations, 1-7 (best)",Value,,
"7.01 Cooperation in labor-employer relations, 1-7 (rank)",EOSQ135_R,"Cooperation in labor-employer relations, 1-7 (best)",Rank,,
"7.02 Flexibility of wage determination, 1-7",EOSQ136,"Flexibility of wage determination, 1-7 (best)",Value,,
"7.02 Flexibility of wage determination, 1-7 (rank)",EOSQ136_R,"Flexibility of wage determination, 1-7 (best)",Rank,,
"7.06 Pay and productivity, 1-7",EOSQ137,"Pay and productivity, 1-7 (best)",Value,,
"7.06 Pay and productivity, 1-7 (rank)",EOSQ137_R,"Pay and productivity, 1-7 (best)",Rank,,
"5.08 Extent of staff training, 1-7",EOSQ139,"Extent of staff training, 1-7 (best)",Value,,
"5.08 Extent of staff training, 1-7 (rank)",EOSQ139_R,"Extent of staff training, 1-7 (best)",Rank,,
"1.06 Judicial independence, 1-7",EOSQ144,"Judicial independence, 1-7 (best)",Value,,
"1.06 Judicial independence, 1-7 (rank)",EOSQ144_R,"Judicial independence, 1-7 (best)",Rank,,
"1.03 Diversion of public funds, 1-7",EOSQ146,"Diversion of public funds, 1-7 (best)",Value,,
"1.03 Diversion of public funds, 1-7 (rank)",EOSQ146_R,"Diversion of public funds, 1-7 (best)",Rank,,
"1.17 Ethical behavior of firms, 1-7",EOSQ153,"Ethical behavior of firms, 1-7 (best)",Value,,
"1.17 Ethical behavior of firms, 1-7 (rank)",EOSQ153_R,"Ethical behavior of firms, 1-7 (best)",Rank,,
"4.02 Business impact of malaria, 1-7",EOSQ168,"Business impact of malaria, 1-7 (best)",Value,,
"4.02 Business impact of malaria, 1-7 (rank)",EOSQ168_R,"Business impact of malaria, 1-7 (best)",Rank,,
"4.04 Business impact of tuberculosis, 1-7",EOSQ169,"Business impact of tuberculosis, 1-7 (best)",Value,,
